nivel,ciclo,centro,via_a,via_a1,via_a2
Grado Medio,,"14,7 14,42 7",,,
Grado Medio,,CP IFP ESCUELA DE LA VID,11.25,,
Grado Medio,,IES BARAJAS,12.0,,
Grado Medio,,IES GASPAR MELCHOR DE JOVELLANOS,7.0,,
Grado Medio,,IES ICARO,7.7,,
Grado Medio,,IES LUIS BUÑUEL,7.0,,
Grado Medio,,IES LUIS VIVES,7.0,,
Grado Medio,,IES NARCIS MONTURIOL,7.29,,
Grado Medio,,IES REY FERNANDO VI,12.9,,
Grado Medio,,IES SANTA ENGRACIA,8.16,,
Grado Medio,1º de C.F.G.M. (Atención a personas en situación de,CPR INF-PRI-SEC ARCADIA,12.48,,
Grado Medio,1º de C.F.G.M. (Atención a personas en situación de,CPR INF-PRI-SEC SAN IGNACIO DE LOYOLA,15.0,,
Grado Medio,1º de C.F.G.M. (Atención a personas en situación de,IES SAPERE AUDE,13.18,,
Grado Medio,Aceites de oliva y vinos,CP IFP ESCUELA DE LA VID,7.0,,
Grado Medio,Aceites de oliva y vinos,CP IFP ESCUELA DE LA VID,,,
Grado Medio,Aceites de oliva y vinos,CPR FPE JUAN XXIII,15.8,,
Grado Medio,Aceites de oliva y vinos,CPR INF-PRI-SEC GSD GUADARRAMA,15.26,,
Grado Medio,Aceites de oliva y vinos,CPR PRI-SEC GSD INTERNATIONAL SCHOOL BUITRAGO,15.42,,
Grado Medio,Aceites de oliva y vinos,IES ALONSO DE AVELLANEDA,15.95,,
Grado Medio,Aceites de oliva y vinos,IES ANGEL CORELLA,12.44,,
Grado Medio,Aceites de oliva y vinos,IES ARQUITECTO VENTURA RODRIGUEZ,15.37,,
Grado Medio,Aceites de oliva y vinos,IES EL ALAMO,14.89,,
Grado Medio,Aceites de oliva y vinos,IES INFANTA ELENA,15.42,,
Grado Medio,Aceites de oliva y vinos,IES JULIO CARO BAROJA,16.58,,
Grado Medio,Aceites de oliva y vinos,IES LAGUNA DE JOATZEL,16.05,,
Grado Medio,Aceites de oliva y vinos,IES LUIS BRAILLE,15.89,,
Grado Medio,Aceites de oliva y vinos,IES LUIS VIVES,15.95,,
Grado Medio,Aceites de oliva y vinos,IES VIRGEN DE LA PAZ,15.5,,
Grado Medio,Actividades comerciales,CP IFP FEDERICA MONTSENY,14.53,,
Grado Medio,Actividades comerciales,CP IFP FEDERICA MONTSENY,12.81,,
Grado Medio,Actividades comerciales,CPR FPE ARZOBISPO MORCILLO,16.0,,
Grado Medio,Actividades comerciales,CPR FPE CENTRO DE ESTUDIOS PROFESIONALES (C.E.P.),7.95,,
Grado Medio,Actividades comerciales,IES ALONSO DE AVELLANEDA,13.0,,
Grado Medio,Actividades comerciales,IES ARQUITECTO VENTURA RODRIGUEZ,12.24,,
Grado Medio,Actividades comerciales,IES CLARA DEL REY,,,
Grado Medio,Actividades comerciales,IES DIEGO VELAZQUEZ,12.42,,
Grado Medio,Actividades comerciales,IES EDUARDO CAPA,11.89,,
Grado Medio,Actividades comerciales,IES EL CAÑAVERAL,15.92,,
Grado Medio,Actividades comerciales,IES EL CAÑAVERAL,10.05,,
Grado Medio,Actividades comerciales,IES ENRIQUE TIERNO GALVAN,12.67,,
Grado Medio,Actividades comerciales,IES GREGORIO MARAÑON,7.19,,
Grado Medio,Actividades comerciales,IES ICARO,12.76,,
Grado Medio,Actividades comerciales,IES JAIME FERRAN,12.95,,
Grado Medio,Actividades comerciales,IES JULIO PALACIOS,15.68,,
Grado Medio,Actividades comerciales,IES LUIS BRAILLE,15.63,,
Grado Medio,Actividades comerciales,IES LUIS BUÑUEL,16.74,,
Grado Medio,Actividades comerciales,IES LUIS BUÑUEL,12.06,,
Grado Medio,Actividades comerciales,IES MARIA DE ZAYAS Y SOTOMAYOR,12.0,,
Grado Medio,Actividades comerciales,IES MIGUEL DE CERVANTES,12.0,,
Grado Medio,Actividades comerciales,IES PABLO NERUDA,16.37,,
